Zaku,Zah-koo
Aburame,Ah-boo-rah-may
Muta,Moo-tah
Shibi,Sheebee
Shikuro,Sheekooroh
Tatsuma,Taht-soo-mah
Torune,Toe-roo-neh
Agari,Ah-gah-ree
Yoroi,Yorohee
Akamaru,Ahkahmahroo
Akimichi,Ah-kee-mee-chee
Akino,Ahkeenoh
Ao,Ow
Aoda,Owdah
Asura, Ahsoorah
Ayame, Ah-yah-may
Baki, Bahkee
Bisuke, Bee-skeh
Bunpuku, Boon-poo-koo
Chojuro, Cho-ju-roh
Chōjūrō, Cho-ju-roh
Chomei, Chomay
Chōmei, Chomay
Ebisu, Eh-bee-soo
Ebizo, Ehbeezoh
Ebizō, Ehbeezoh
Gamabunta, Gahmahboontah
Gamaden, Gahmahden
Gamahiro, Gahmahheeroh
Gamaken, Gahmahken
Gamakichi, Gahmahkeechee
Gamamaru, Gahmahmahroo
Gamatama, Gahmahtahmah
Gamatatsu, Gahmahtahtsoo
Gato,Gahtoh
Gatō, Gahtoh
Gazeru, Gahzehroo
Gekko, Gehkoh
Gekkō, Gehkoh
Hayate, Hahyahteh
Gerotora, Gehrohtohrah
Giichi, Geeeechee
Guruko, Goo-roo-koh
Hagane, Hah-gah-neh
Kotetsu, Koh-teh-tsu
Hakui, Hahkooee
Hanzo, Hahnzoh
Hanzō, Hahnzoh
Haruno, Hah-roo-noh
Sakura,saw-koo-rah
Hatake, Hahtahkeh
Sakumo, Sah-koo-moh
Hidan, Heedahn
Hoshigaki, Hohsheegahkee
Hozuki, Hohzookee
Hōzuki, Hohzookee
Suigetsu, Soogehtsu
Hiashi, Hee-ah-shee
Hinata, Hee-nah-tah
Hizashi, Hee-zah-shee
Neji, Nehjee
Tokuma, Tohkoomah
Inuzuka, Eenoozookah
Hana, Hahnah
Tsume, Tsoo-mei
Ise, Eeseh
Udon, Oodohn
Isobu, Ee-soh-boo
Jugo, Joogoh
Jūgo, Joogoh
Kagari, Kah-gah-ree
Kakuzu, Kahkoozoo
Kamizuki, Kahmeezookee
Izumo, Eezoomoh
Yagura, Yahgoorah
Karin, Kah-rin
Karui, Kah-roo-ee
Dan, Dahn
Katsuyu, Kah-tsoo-yoo
Kidomaru, Keedohmahroo
Kidōmaru, Keedohmahroo
Kosuke, Kohskeh
Kōsuke, Kohskeh
Kyodaigumo, Kyoh-die-goo-moh
Manda, Mahndah
Mifune, Mee-foo-neh
Anko, Ahnkoh
Homura, Hoh-moo-rah
Mizuki, Meezookee
Zabuza, Zahboozah
Nagato, Nahgahtoh
Raido, Ryedoh
Raidō, Ryedoh
Ningame, Ning-ah-meh
Hagoromo, Hahgohrohmoh
Hamura, Hah-moo-rah
Asura, Ahsoorah
Kaguya, Kahgooyah
Pakkun, Pahk-koon
Preta, Prehtah
Rasa, Rahsah
Rikumaru, Ree-koo-mah-roo
Roshi, Roh-shee
Rōshi, Roh-shee
Ukon, Ookohn
Sakon, Sah-kohn
Hiruzen, Hee-roo-zen
Konohamaru, Koh-noh-hah-mah-roo
Mirai, Meerye
Sasori, Sahsohree
Butsuma, Boot-soo-mah
Itama, Ee-tah-mah
Tobirama, Toh-bee-rah-mah
Danzo, Dahnzoh
Danzō, Dahnzoh
Shizune, Shee-zoo-neh
Son, Sohn
Kato, Kahtoh
Katō, Kahtoh
Madoka, Mahdohkah
Mimura, Mee-moo-rah
Mitarashi, Meetahrahshee
Mizukage, Mee-zoo-kah-geh
Mokume, Mohkoomeh
Tanzaku, Tahnzahkoo
Namikaze, Nah-mee-kah-zeh
Nohara, Noh-hah-rah
Otsutsuki, Oh-tsoo-tsoo-kee
Ōtsutsuki, Oh-tsoo-tsoo-kee
Samidare, Sah-mee-dah-reh
Senka, Sen-kah
Shijimi, Sheejeemee
Shimura, Sheemoorah
Tarui, Tah-roo-ee
Tasuki, Tahskee
Tayuya, Tahyooyah
Tonton, Ton-ton
Itachi, ee-tah-chee
Kagami, Kah-gah-mee
Madara, Mahdahrah
Shisui, Sheesooee
Tajima, Tahjeemah
Iruka, Eerookah
Ashina, Ahsheenah
Kushina, Koosheenah
Kabuto, Kah-boo-toh
Inoichi, Ee-noh-ee-chee
Santa, Sahntah
Aoba, Ah-oh-bah
Kurenai, Koo-reh-nai
Uchiha, Oocheehah
Umino, Oomeenoh
Utatane, Oo-tah-tah-neh
Uzuki, Oo-zoo-kee
Yakushi, Yahkooshee
